Date,Open,High,Low,Close,Adj.Close,Date.1,Open.1,High.1,Low.1,Close.1,Adj.Close.1,Volume
1-Jan-00,1469.25,1478,1377.68,1441.47,1441.47,2000/1/1,18937.44922,19187.60938,18068.09961,18193.41016,18193.41016,0
8-Jan-00,1441.47,1473,1427.08,1465.15,1465.15,2000/1/8,18246.09961,19058.01953,18246.09961,18956.55078,18956.55078,0
15-Jan-00,1465.15,1465.71,1438.54,1441.36,1441.36,2000/1/15,19025.61914,19442.58008,18713.16992,18878.08984,18878.08984,0
22-Jan-00,1441.36,1454.09,1356.2,1360.16,1360.16,2000/1/22,18878.46094,19595.83008,18815.36914,19434.7793,19434.7793,0
29-Jan-00,1360.16,1435.91,1350.14,1424.37,1424.37,2000/1/29,19375.10938,20011.91016,19224.4707,19763.13086,19763.13086,0
5-Feb-00,1424.37,1444.55,1378.89,1387.12,1387.12,2000/2/5,19832.75977,20046.14063,19710.01953,19710.01953,19710.01953,0
12-Feb-00,1387.12,1407.72,1345.32,1346.09,1346.09,2000/2/12,19698.57031,19862.93945,19300.14063,19789.0293,19789.0293,0
19-Feb-00,1346.09,1370.11,1329.15,1333.36,1333.36,2000/2/19,19736.15039,19817.88086,19353.40039,19817.88086,19817.88086,0
26-Feb-00,1333.36,1410.88,1325.07,1409.17,1409.17,2000/2/26,19783.43945,20202.96094,19713.85938,19927.53906,19927.53906,0
4-Mar-00,1409.17,1413.46,1346.62,1395.07,1395.07,2000/3/4,20041.48047,20160.0293,19614.82031,19750.40039,19750.40039,0
11-Mar-00,1395.07,1477.33,1356.99,1464.47,1464.47,2000/3/11,19731.5,19760.34961,18765.88086,19566.32031,19566.32031,0
18-Mar-00,1464.47,1552.87,1446.06,1527.46,1527.46,2000/3/18,19598.5293,20012.41016,19455.10938,19958.08008,19958.08008,0
25-Mar-00,1527.46,1534.63,1474.63,1498.58,1498.58,2000/3/25,19976.14063,20809.78906,19880.10938,20337.32031,20337.32031,0
1-Apr-00,1498.58,1526.45,1416.41,1516.35,1516.35,2000/4/1,20327.78906,20747.82031,20171.61914,20252.81055,20252.81055,0
7-Apr-00,1516.35,1527.19,1339.4,1356.56,1356.56,2000/4/8,20368.81055,20833.21094,20330.89063,20434.67969,20434.67969,0
14-Apr-00,1356.56,1447.69,1346.5,1434.54,1434.54,2000/4/15,20341.5,20341.5,18091.09961,18252.67969,18252.67969,0
21-Apr-00,1434.54,1482.94,1407.13,1452.43,1452.43,2000/4/22,18247.48047,18987.33984,17926.42969,17973.69922,17973.69922,0
28-Apr-00,1452.43,1481.51,1398.36,1432.63,1432.63,2000/4/29,17979.25,18586.16016,17979.25,18439.35938,18439.35938,0
5-May-00,1432.63,1432.63,1375.14,1420.96,1420.96,2000/5/6,18465.71094,18475.44922,16779.41992,17357.85938,17357.85938,0
12-May-00,1420.96,1470.4,1401.74,1406.95,1406.95,2000/5/13,17396.44922,17691.39063,16572.05078,16858.16992,16858.16992,0
19-May-00,1406.95,1411.65,1361.09,1378.02,1378.02,2000/5/20,16802.66016,16802.66016,15870.25,16008.13965,16008.13965,0
26-May-00,1378.02,1483.23,1378.02,1477.26,1477.26,2000/5/27,16028.75977,16941.41992,16028.75977,16800.06055,16800.06055,0
2-Jun-00,1477.26,1477.28,1454.74,1456.95,1456.95,2000/6/3,16842.03906,17261.86914,16785.76953,16861.91016,16861.91016,0
9-Jun-00,1456.95,1483.62,1442.38,1464.46,1464.46,2000/6/10,16876.67969,17018.64063,16289.91992,16318.30957,16318.30957,0
